,breakdown,auc,disease,Age Range,Gender
264,AD|60-70|All|Carriers,0.6344956444893322,AD,60-70,All
265,AD|60-70|All|Carriers,0.5964802423936372,AD,60-70,All
266,AD|60-70|All|Non Carriers,0.6251441753171858,AD,60-70,All
267,AD|60-70|All|Non Carriers,0.5989763552479815,AD,60-70,All
268,AD|60-70|All|All,0.6366319168283077,AD,60-70,All
269,AD|60-70|All|All,0.6235075415300534,AD,60-70,All
270,AD|50-60|Male|Carriers,0.6744444444444445,AD,50-60,Male
271,AD|50-60|Male|Carriers,0.7666666666666667,AD,50-60,Male
272,AD|50-60|Male|Non Carriers,0.58984375,AD,50-60,Male
273,AD|50-60|Male|Non Carriers,0.40234375,AD,50-60,Male
274,AD|50-60|Male|All,0.6696597353497165,AD,50-60,Male
275,AD|50-60|Male|All,0.753780718336484,AD,50-60,Male
276,AD|50-60|Female|Carriers,0.5141776937618148,AD,50-60,Female
277,AD|50-60|Female|Carriers,0.4820415879017014,AD,50-60,Female
278,AD|50-60|Female|Non Carriers,0.6038781163434903,AD,50-60,Female
279,AD|50-60|Female|Non Carriers,0.6066481994459834,AD,50-60,Female
280,AD|50-60|Female|All,0.5827664399092971,AD,50-60,Female
281,AD|50-60|Female|All,0.5470521541950113,AD,50-60,Female
282,AD|50-60|All|Carriers,0.5973656105375579,AD,50-60,All
283,AD|50-60|All|Carriers,0.6532573869704521,AD,50-60,All
284,AD|50-60|All|Non Carriers,0.7534602076124568,AD,50-60,All
285,AD|50-60|All|Non Carriers,0.6868512110726644,AD,50-60,All
286,AD|50-60|All|All,0.6296736689126701,AD,50-60,All
287,AD|50-60|All|All,0.5881886642885454,AD,50-60,All
288,PD|50-70|Male|Carriers,0.5496506315506584,PD,50-70,Male
289,PD|50-70|Male|Carriers,0.5403789303950551,PD,50-70,Male
290,PD|50-70|Male|Non Carriers,0.5853069719042664,PD,50-70,Male
291,PD|50-70|Male|Non Carriers,0.5573361082206035,PD,50-70,Male
292,PD|50-70|Male|All,0.5948598313545075,PD,50-70,Male
293,PD|50-70|Male|All,0.5523987019249568,PD,50-70,Male
294,PD|50-70|Female|Carriers,0.5576244918128523,PD,50-70,Female
295,PD|50-70|Female|Carriers,0.5495608813818198,PD,50-70,Female
296,PD|50-70|Female|Non Carriers,0.5735640138408304,PD,50-70,Female
297,PD|50-70|Female|Non Carriers,0.5264282968089196,PD,50-70,Female
298,PD|50-70|Female|All,0.5790952126581812,PD,50-70,Female
299,PD|50-70|Female|All,0.5675320967415131,PD,50-70,Female
300,PD|50-70|All|Carriers,0.5624904183462742,PD,50-70,All
301,PD|50-70|All|Carriers,0.5506226947668389,PD,50-70,All
302,PD|50-70|All|Non Carriers,0.59738251041047,PD,50-70,All
303,PD|50-70|All|Non Carriers,0.5698572278405711,PD,50-70,All
304,PD|50-70|All|All,0.5870429979947434,PD,50-70,All
305,PD|50-70|All|All,0.588221335424935,PD,50-70,All
306,PD|55-70|Male|Carriers,0.612217598097503,PD,55-70,Male
307,PD|55-70|Male|Carriers,0.5262336504161712,PD,55-70,Male
308,PD|55-70|Male|Non Carriers,0.5703524470416361,PD,55-70,Male
309,PD|55-70|Male|Non Carriers,0.5327337472607743,PD,55-70,Male
310,PD|55-70|Male|All,0.5738553398198615,PD,55-70,Male
311,PD|55-70|Male|All,0.6207115904523703,PD,55-70,Male
312,PD|55-70|Female|Carriers,0.5524863245959258,PD,55-70,Female
313,PD|55-70|Female|Carriers,0.5755798123808816,PD,55-70,Female
314,PD|55-70|Female|Non Carriers,0.571684371825554,PD,55-70,Female
315,PD|55-70|Female|Non Carriers,0.5933265611817978,PD,55-70,Female
316,PD|55-70|Female|All,0.5848876968121046,PD,55-70,Female
317,PD|55-70|Female|All,0.5454280215392806,PD,55-70,Female
318,PD|55-70|All|Carriers,0.5921927575709021,PD,55-70,All
319,PD|55-70|All|Carriers,0.5994932703092453,PD,55-70,All
320,PD|55-70|All|Non Carriers,0.5761725074510478,PD,55-70,All
321,PD|55-70|All|Non Carriers,0.5898784702718063,PD,55-70,All
322,PD|55-70|All|All,0.5886283386147578,PD,55-70,All
323,PD|55-70|All|All,0.5882641718223429,PD,55-70,All
324,PD|60-70|Male|Carriers,0.5775000000000001,PD,60-70,Male
325,PD|60-70|Male|Carriers,0.583,PD,60-70,Male
326,PD|60-70|Male|Non Carriers,0.45664,PD,60-70,Male
327,PD|60-70|Male|Non Carriers,0.51584,PD,60-70,Male
328,PD|60-70|Male|All,0.5741390306122449,PD,60-70,Male
329,PD|60-70|Male|All,0.567482461734694,PD,60-70,Male
330,PD|60-70|Female|Carriers,0.6402698863636362,PD,60-70,Female
331,PD|60-70|Female|Carriers,0.5486182851239669,PD,60-70,Female
332,PD|60-70|Female|Non Carriers,0.5271703270807804,PD,60-70,Female
333,PD|60-70|Female|Non Carriers,0.5513950419455179,PD,60-70,Female
334,PD|60-70|Female|All,0.5903004303610098,PD,60-70,Female
335,PD|60-70|Female|All,0.5912289959156821,PD,60-70,Female
336,PD|60-70|All|Carriers,0.5971040747742071,PD,60-70,All
337,PD|60-70|All|Carriers,0.5879935937828188,PD,60-70,All
338,PD|60-70|All|Non Carriers,0.5541935542757004,PD,60-70,All
339,PD|60-70|All|Non Carriers,0.5764551254552258,PD,60-70,All
340,PD|60-70|All|All,0.5867976300654907,PD,60-70,All
341,PD|60-70|All|All,0.5973771132504091,PD,60-70,All
342,PD|50-60|Male|Carriers,0.5943877551020408,PD,50-60,Male
343,PD|50-60|Male|Carriers,0.5,PD,50-60,Male
344,PD|50-60|Male|Non Carriers,0.47666009204470744,PD,50-60,Male
345,PD|50-60|Male|Non Carriers,0.5917159763313611,PD,50-60,Male
346,PD|50-60|Male|All,0.6057028291378926,PD,50-60,Male
347,PD|50-60|Male|All,0.5892180886611718,PD,50-60,Male
348,PD|50-60|Female|Carriers,0.6077504725897921,PD,50-60,Female
349,PD|50-60|Female|Carriers,0.6493383742911153,PD,50-60,Female
350,PD|50-60|Female|Non Carriers,0.5288710140764148,PD,50-60,Female
351,PD|50-60|Female|Non Carriers,0.46854352197644356,PD,50-60,Female
352,PD|50-60|Female|All,0.5795918367346938,PD,50-60,Female
353,PD|50-60|Female|All,0.6399092970521543,PD,50-60,Female
354,PD|50-60|All|Carriers,0.5323228634039444,PD,50-60,All
355,PD|50-60|All|Carriers,0.5726807888970051,PD,50-60,All
356,PD|50-60|All|Non Carriers,0.5680966264056643,PD,50-60,All
357,PD|50-60|All|Non Carriers,0.5807996668054977,PD,50-60,All
358,PD|50-60|All|All,0.5882909680908599,PD,50-60,All
359,PD|50-60|All|All,0.5757166035694969,PD,50-60,All
