,breakdown,auc,disease,Age Range,Gender,fields
208,VD|50-60|Female|All,0.7003567181926278,VD,50-60,Female,Blood
209,VD|50-60|Female|All,0.6623067776456598,VD,50-60,Female,Blood
210,VD|50-60|All|Carriers,0.7712665406427222,VD,50-60,All,Blood
211,VD|50-60|All|Carriers,0.7485822306238186,VD,50-60,All,Blood
212,VD|50-60|All|Non Carriers,0.5433884297520661,VD,50-60,All,Blood
213,VD|50-60|All|Non Carriers,0.5578512396694215,VD,50-60,All,Blood
214,VD|50-60|All|All,0.6849382716049383,VD,50-60,All,Blood
215,VD|50-60|All|All,0.6261728395061729,VD,50-60,All,Blood
216,AD|50-70|Male|Carriers,0.636881431570294,AD,50-70,Male,Blood
217,AD|50-70|Male|Carriers,0.6131002187284391,AD,50-70,Male,Blood
218,AD|50-70|Male|Non Carriers,0.5922902112616784,AD,50-70,Male,Blood
219,AD|50-70|Male|Non Carriers,0.6003703391970373,AD,50-70,Male,Blood
220,AD|50-70|Male|All,0.638517165814463,AD,50-70,Male,Blood
221,AD|50-70|Male|All,0.6087801314828342,AD,50-70,Male,Blood
222,AD|50-70|Female|Carriers,0.6094952148620755,AD,50-70,Female,Blood
223,AD|50-70|Female|Carriers,0.5122286858072184,AD,50-70,Female,Blood
224,AD|50-70|Female|Non Carriers,0.5647155248958406,AD,50-70,Female,Blood
225,AD|50-70|Female|Non Carriers,0.5331603032579741,AD,50-70,Female,Blood
226,AD|50-70|Female|All,0.5773313148788928,AD,50-70,Female,Blood
227,AD|50-70|Female|All,0.545454152249135,AD,50-70,Female,Blood
228,AD|50-70|All|Carriers,0.6215516493055556,AD,50-70,All,Blood
229,AD|50-70|All|Carriers,0.5892100694444444,AD,50-70,All,Blood
230,AD|50-70|All|Non Carriers,0.5251984877126654,AD,50-70,All,Blood
231,AD|50-70|All|Non Carriers,0.5892249527410207,AD,50-70,All,Blood
232,AD|50-70|All|All,0.5934348343582623,AD,50-70,All,Blood
233,AD|50-70|All|All,0.5977921047411228,AD,50-70,All,Blood
234,AD|55-70|Male|Carriers,0.5709624672591561,AD,55-70,Male,Blood
235,AD|55-70|Male|Carriers,0.6006752562491484,AD,55-70,Male,Blood
236,AD|55-70|Male|Non Carriers,0.585124716553288,AD,55-70,Male,Blood
237,AD|55-70|Male|Non Carriers,0.5338775510204081,AD,55-70,Male,Blood
238,AD|55-70|Male|All,0.591450199932847,AD,55-70,Male,Blood
239,AD|55-70|Male|All,0.6085398797350507,AD,55-70,Male,Blood
240,AD|55-70|Female|Carriers,0.5348508230452675,AD,55-70,Female,Blood
241,AD|55-70|Female|Carriers,0.5357510288065844,AD,55-70,Female,Blood
242,AD|55-70|Female|Non Carriers,0.5259982763573686,AD,55-70,Female,Blood
243,AD|55-70|Female|Non Carriers,0.5300201091640333,AD,55-70,Female,Blood
244,AD|55-70|Female|All,0.5765803721897522,AD,55-70,Female,Blood
245,AD|55-70|Female|All,0.5481193302018716,AD,55-70,Female,Blood
246,AD|55-70|All|Carriers,0.5696177071367592,AD,55-70,All,Blood
247,AD|55-70|All|Carriers,0.5817238712907133,AD,55-70,All,Blood
248,AD|55-70|All|Non Carriers,0.5793601319149793,AD,55-70,All,Blood
249,AD|55-70|All|Non Carriers,0.5252669468519375,AD,55-70,All,Blood
250,AD|55-70|All|All,0.5867663330690975,AD,55-70,All,Blood
251,AD|55-70|All|All,0.5825148219711984,AD,55-70,All,Blood
252,AD|60-70|Male|Carriers,0.612734370896868,AD,60-70,Male,Blood
253,AD|60-70|Male|Carriers,0.5750599604348664,AD,60-70,Male,Blood
254,AD|60-70|Male|Non Carriers,0.5440004251248804,AD,60-70,Male,Blood
255,AD|60-70|Male|Non Carriers,0.46327983845254544,AD,60-70,Male,Blood
256,AD|60-70|Male|All,0.6234676162131518,AD,60-70,Male,Blood
257,AD|60-70|Male|All,0.6243622448979591,AD,60-70,Male,Blood
258,AD|60-70|Female|Carriers,0.5168960316712226,AD,60-70,Female,Blood
259,AD|60-70|Female|Carriers,0.550923743990951,AD,60-70,Female,Blood
260,AD|60-70|Female|Non Carriers,0.555070311817626,AD,60-70,Female,Blood
261,AD|60-70|Female|Non Carriers,0.55917547384051,AD,60-70,Female,Blood
262,AD|60-70|Female|All,0.5628004777021303,AD,60-70,Female,Blood
263,AD|60-70|Female|All,0.607038961304086,AD,60-70,Female,Blood
264,AD|60-70|All|Carriers,0.5785178639060724,AD,60-70,All,Blood
265,AD|60-70|All|Carriers,0.5847872743340488,AD,60-70,All,Blood
266,AD|60-70|All|Non Carriers,0.5977388504421377,AD,60-70,All,Blood
267,AD|60-70|All|Non Carriers,0.6011630142252979,AD,60-70,All,Blood
268,AD|60-70|All|All,0.5889005486691627,AD,60-70,All,Blood
269,AD|60-70|All|All,0.5517318334951721,AD,60-70,All,Blood
270,AD|50-60|Male|Carriers,0.54,AD,50-60,Male,Blood
271,AD|50-60|Male|Carriers,0.7511111111111111,AD,50-60,Male,Blood
272,AD|50-60|Male|Non Carriers,0.4609375,AD,50-60,Male,Blood
273,AD|50-60|Male|Non Carriers,0.3671875,AD,50-60,Male,Blood
274,AD|50-60|Male|All,0.6309073724007561,AD,50-60,Male,Blood
275,AD|50-60|Male|All,0.6446124763705103,AD,50-60,Male,Blood
276,AD|50-60|Female|Carriers,0.4347826086956521,AD,50-60,Female,Blood
277,AD|50-60|Female|Carriers,0.5652173913043479,AD,50-60,Female,Blood
278,AD|50-60|Female|Non Carriers,0.45152354570637115,AD,50-60,Female,Blood
279,AD|50-60|Female|Non Carriers,0.4404432132963989,AD,50-60,Female,Blood
280,AD|50-60|Female|All,0.5615079365079365,AD,50-60,Female,Blood
281,AD|50-60|Female|All,0.4382086167800453,AD,50-60,Female,Blood
282,AD|50-60|All|Carriers,0.46707013171947315,AD,50-60,All,Blood
283,AD|50-60|All|Carriers,0.4791740833036668,AD,50-60,All,Blood
284,AD|50-60|All|Non Carriers,0.4896193771626297,AD,50-60,All,Blood
285,AD|50-60|All|Non Carriers,0.4757785467128028,AD,50-60,All,Blood
286,AD|50-60|All|All,0.5389087065662571,AD,50-60,All,Blood
287,AD|50-60|All|All,0.5866032500990883,AD,50-60,All,Blood
288,PD|50-70|Male|Carriers,0.5335931201289976,PD,50-70,Male,Blood
