,breakdown,auc,disease,Age Range,Gender
298,PD|50-70|Female|All,0.6245740389397483,PD,50-70,Female
299,PD|50-70|Female|All,0.6623901711212217,PD,50-70,Female
300,PD|50-70|All|Carriers,0.6101957813669525,PD,50-70,All
301,PD|50-70|All|Carriers,0.6035044053062071,PD,50-70,All
302,PD|50-70|All|Non Carriers,0.6215883402736466,PD,50-70,All
303,PD|50-70|All|Non Carriers,0.6023616894705532,PD,50-70,All
304,PD|50-70|All|All,0.6438522667371918,PD,50-70,All
305,PD|50-70|All|All,0.6424647087486799,PD,50-70,All
306,PD|55-70|Male|Carriers,0.5893281807372175,PD,55-70,Male
307,PD|55-70|Male|Carriers,0.5967598097502973,PD,55-70,Male
308,PD|55-70|Male|Non Carriers,0.6014426588750913,PD,55-70,Male
309,PD|55-70|Male|Non Carriers,0.5748265157048941,PD,55-70,Male
310,PD|55-70|Male|All,0.6218031198947505,PD,55-70,Male
311,PD|55-70|Male|All,0.6300510344229352,PD,55-70,Male
312,PD|55-70|Female|Carriers,0.5871636840672261,PD,55-70,Female
313,PD|55-70|Female|Carriers,0.6192916016930274,PD,55-70,Female
314,PD|55-70|Female|Non Carriers,0.6387458893614091,PD,55-70,Female
315,PD|55-70|Female|Non Carriers,0.6477505552590348,PD,55-70,Female
316,PD|55-70|Female|All,0.6120626113306443,PD,55-70,Female
317,PD|55-70|Female|All,0.5763958559407056,PD,55-70,Female
318,PD|55-70|All|Carriers,0.6058123698125301,PD,55-70,All
319,PD|55-70|All|Carriers,0.6565854830956577,PD,55-70,All
320,PD|55-70|All|Non Carriers,0.6264959919641029,PD,55-70,All
321,PD|55-70|All|Non Carriers,0.6380740280595555,PD,55-70,All
322,PD|55-70|All|All,0.6439655952919873,PD,55-70,All
323,PD|55-70|All|All,0.6373180423519943,PD,55-70,All
324,PD|60-70|Male|Carriers,0.5977,PD,60-70,Male
325,PD|60-70|Male|Carriers,0.5510999999999999,PD,60-70,Male
326,PD|60-70|Male|Non Carriers,0.59936,PD,60-70,Male
327,PD|60-70|Male|Non Carriers,0.552896,PD,60-70,Male
328,PD|60-70|Male|All,0.5930723852040817,PD,60-70,Male
